order_id,customer_id,order_date,order_value_kes,items,delivered_late,payment_method
ORD-543123,DL-12868,2026-04-11,3420.0,34,1,M-Pesa
ORD-521403,DL-11421,2026-05-03,11300.0,5,1,M-Pesa
ORD-507607,DL-10507,2026-05-24,13510.0,16,0,M-Pesa
ORD-542856,DL-12848,2026-02-21,3640.0,28,0,M-Pesa
ORD-531387,DL-12079,2026-03-10,6010.0,10,0,Credit
ORD-535761,DL-12355,2025-12-26,2760.0,7,0,Credit
ORD-514185,DL-10948,2025-08-16,9910.0,19,0,M-Pesa
ORD-554853,DL-13604,2026-02-02,8040.0,21,1,Cash
ORD-549924,DL-13314,2026-03-25,7120.0,23,1,M-Pesa
ORD-500666,DL-10049,2025-10-19,2350.0,13,0,Credit
ORD-506896,DL-10473,2025-09-04,6490.0,17,0,Bank transfer
ORD-567397,DL-14435,2026-04-11,13900.0,17,0,M-Pesa
ORD-574016,DL-14850,2025-08-11,6190.0,18,0,M-Pesa
ORD-535441,DL-12334,2026-04-05,8600.0,15,1,M-Pesa
ORD-521748,DL-11445,2026-03-31,5790.0,6,0,Credit
ORD-528559,DL-11891,2026-05-06,16400.0,7,0,Bank transfer
ORD-543699,DL-12904,2025-11-15,6420.0,27,0,Bank transfer
ORD-512336,DL-10823,2025-10-29,4510.0,16,0,Bank transfer
ORD-526089,DL-11722,2026-05-06,7670.0,35,1,Bank transfer
ORD-546339,DL-13081,2026-06-24,1870.0,19,1,Credit
ORD-560572,DL-13983,2026-01-29,27670.0,14,1,Credit
ORD-516103,DL-11087,2025-09-10,2970.0,28,0,M-Pesa
ORD-538661,DL-12566,2026-05-17,3950.0,28,0,M-Pesa
ORD-545115,DL-13000,2026-03-19,6040.0,4,0,M-Pesa
ORD-559306,DL-13899,2026-03-18,3090.0,3,0,M-Pesa
ORD-515165,DL-11009,2025-08-09,4740.0,21,1,Bank transfer
ORD-519096,DL-11279,2026-03-30,4010.0,28,0,M-Pesa
ORD-575639,DL-14953,2026-04-25,1780.0,17,0,Cash
ORD-555748,DL-13661,2025-11-25,7010.0,3,0,Bank transfer
ORD-517727,DL-11188,2025-08-04,1880.0,20,0,Cash
ORD-546017,DL-13054,2025-11-22,3840.0,30,0,M-Pesa
ORD-500116,DL-10009,2026-01-01,9070.0,26,0,Cash
ORD-568276,DL-14492,2026-01-01,2910.0,1,0,Credit
ORD-567952,DL-14474,2026-02-14,3220.0,1,0,Bank transfer
ORD-538603,DL-12560,2025-08-16,2240.0,30,0,M-Pesa
ORD-559302,DL-13899,2025-12-31,4010.0,28,1,M-Pesa
ORD-544979,DL-12991,2025-09-08,6740.0,26,0,M-Pesa
ORD-545172,DL-13005,2026-01-13,7780.0,25,0,M-Pesa
ORD-572332,DL-14756,2026-06-15,1270.0,32,0,M-Pesa
ORD-574123,DL-14853,2026-05-01,2720.0,20,0,M-Pesa
ORD-507496,DL-10503,2026-03-14,2030.0,31,0,Cash
ORD-535006,DL-12298,2026-02-28,5480.0,33,0,Credit
ORD-530022,DL-11978,2026-03-11,14400.0,3,0,Cash
ORD-545337,DL-13014,2026-02-20,14320.0,2,1,M-Pesa
ORD-574473,DL-14881,2026-05-19,3990.0,23,0,Credit
ORD-505204,DL-10370,2026-02-16,4090.0,23,0,M-Pesa
ORD-521384,DL-11419,2026-01-03,3570.0,1,1,Bank transfer
ORD-548152,DL-13195,2026-06-11,2210.0,31,1,Credit
ORD-509242,DL-10619,2026-01-25,3700.0,13,0,Cash
ORD-534240,DL-12258,2026-05-03,2820.0,24,0,Credit
ORD-572000,DL-14732,2026-01-21,15130.0,19,1,Credit
ORD-561897,DL-14068,2025-07-26,4540.0,24,1,M-Pesa
ORD-534711,DL-12286,2025-10-31,4040.0,18,0,Cash
ORD-552994,DL-13496,2025-08-15,8340.0,14,0,Credit
ORD-568424,DL-14505,2026-05-06,1940.0,30,0,Credit
ORD-500304,DL-10020,2026-04-01,3970.0,26,0,M-Pesa
ORD-513986,DL-10930,2026-03-14,6240.0,14,0,Credit
ORD-528328,DL-11875,2025-12-22,6970.0,18,1,M-Pesa
ORD-571642,DL-14706,2026-03-17,6180.0,6,0,Credit
ORD-505368,DL-10383,2025-10-14,4240.0,39,0,M-Pesa
ORD-544020,DL-12926,2025-11-30,10310.0,19,0,M-Pesa
ORD-538676,DL-12567,2025-11-07,4420.0,36,0,Cash
ORD-569369,DL-14555,2026-06-14,3900.0,8,0,M-Pesa
ORD-560022,DL-13949,2025-12-07,9330.0,36,0,Bank transfer
ORD-548640,DL-13226,2025-09-29,2920.0,3,0,Bank transfer
ORD-555198,DL-13628,2025-08-26,27930.0,36,0,M-Pesa
ORD-541211,DL-12739,2025-09-09,5540.0,33,0,Credit
ORD-502491,DL-10170,2026-02-04,11290.0,11,1,M-Pesa
ORD-557368,DL-13756,2026-03-21,5110.0,21,0,M-Pesa
ORD-510817,DL-10730,2025-10-05,5240.0,14,0,M-Pesa
ORD-509414,DL-10633,2025-12-11,2090.0,15,1,Bank transfer
ORD-512165,DL-10813,2025-08-01,4110.0,36,0,Credit
ORD-508513,DL-10564,2026-05-15,1180.0,39,0,Cash
ORD-520222,DL-11347,2026-02-14,5540.0,10,1,M-Pesa
ORD-550291,DL-13333,2026-04-17,2590.0,11,1,Cash
ORD-547285,DL-13141,2026-05-24,1280.0,32,0,M-Pesa
ORD-569468,DL-14561,2025-11-29,5310.0,33,0,Credit
ORD-542469,DL-12822,2026-06-10,3390.0,31,0,Cash
ORD-537923,DL-12513,2025-12-21,2260.0,1,0,Cash
ORD-536218,DL-12388,2026-02-22,7770.0,29,0,M-Pesa
ORD-534828,DL-12292,2026-02-16,4280.0,19,1,Bank transfer
ORD-544079,DL-12929,2026-04-23,10360.0,1,0,Credit
ORD-530787,DL-12035,2026-01-02,5690.0,26,0,Bank transfer
ORD-531981,DL-12123,2026-04-01,3140.0,25,0,M-Pesa
ORD-555870,DL-13668,2026-02-22,2560.0,28,0,Bank transfer
ORD-540044,DL-12666,2026-05-07,2760.0,9,0,M-Pesa
ORD-525311,DL-11674,2026-04-10,4760.0,23,0,M-Pesa
ORD-516542,DL-11118,2025-09-30,4650.0,25,0,M-Pesa
ORD-549251,DL-13269,2025-10-11,2640.0,34,1,Credit
ORD-528774,DL-11900,2026-04-20,6300.0,1,0,M-Pesa
ORD-506259,DL-10442,2026-02-22,1880.0,16,1,M-Pesa
ORD-547072,DL-13128,2025-10-22,4020.0,24,0,Credit
ORD-554353,DL-13573,2025-07-10,8410.0,39,0,M-Pesa
ORD-550647,DL-13350,2025-08-06,1900.0,24,0,M-Pesa
ORD-555524,DL-13647,2026-01-26,4870.0,27,0,M-Pesa
ORD-515908,DL-11066,2026-02-06,2580.0,9,0,M-Pesa
ORD-518931,DL-11272,2026-02-13,3980.0,10,0,Credit
ORD-511000,DL-10743,2025-07-25,6220.0,18,0,M-Pesa
ORD-508737,DL-10583,2026-02-04,8490.0,9,0,Credit
ORD-567717,DL-14456,2026-02-26,5280.0,38,0,M-Pesa
ORD-568636,DL-14520,2025-09-27,10620.0,3,1,M-Pesa
ORD-506435,DL-10451,2026-04-26,1130.0,6,0,Credit
ORD-556841,DL-13729,2026-01-06,5070.0,28,0,Credit
ORD-521943,DL-11459,2025-12-14,3990.0,7,0,M-Pesa
ORD-502126,DL-10147,2025-11-13,2630.0,12,1,M-Pesa
ORD-510834,DL-10731,2025-09-22,14650.0,7,0,Credit
ORD-531560,DL-12091,2026-05-05,7320.0,14,0,M-Pesa
ORD-537172,DL-12462,2026-01-26,2070.0,31,0,M-Pesa
ORD-524002,DL-11594,2025-08-12,950.0,25,1,Bank transfer
ORD-501588,DL-10113,2026-03-04,1390.0,30,0,Bank transfer
ORD-554368,DL-13574,2026-05-07,3930.0,4,0,Cash
ORD-565265,DL-14297,2025-07-01,13500.0,15,0,M-Pesa
ORD-521608,DL-11432,2026-01-16,7870.0,2,0,Credit
ORD-573266,DL-14805,2026-05-28,11520.0,12,1,Credit
ORD-560049,DL-13950,2026-05-03,5640.0,30,0,Credit
ORD-501510,DL-10109,2025-10-18,3840.0,29,1,Bank transfer
ORD-519902,DL-11328,2026-05-17,7070.0,23,0,Credit
ORD-549225,DL-13269,2025-09-07,4650.0,16,1,M-Pesa
ORD-547652,DL-13161,2025-09-16,9950.0,39,0,Credit
ORD-510184,DL-10688,2025-08-22,5020.0,22,0,Cash
ORD-546199,DL-13074,2026-04-12,4880.0,5,0,M-Pesa
ORD-518179,DL-11221,2025-11-15,7590.0,37,1,Cash
ORD-573095,DL-14798,2025-12-06,7000.0,16,0,Credit
ORD-552761,DL-13478,2025-12-20,17750.0,20,0,Bank transfer
ORD-527797,DL-11848,2025-07-30,3100.0,30,1,Credit
ORD-567954,DL-14474,2026-06-11,6800.0,32,0,M-Pesa
ORD-523831,DL-11587,2026-06-12,3020.0,5,0,Credit
ORD-539088,DL-12599,2026-04-10,8410.0,8,0,M-Pesa
ORD-520690,DL-11372,2025-12-04,1920.0,20,0,M-Pesa
ORD-566609,DL-14385,2025-09-01,7000.0,36,0,M-Pesa
ORD-570918,DL-14655,2025-07-23,4890.0,27,1,M-Pesa
ORD-571386,DL-14687,2026-05-02,3660.0,6,0,Cash
ORD-562814,DL-14134,2026-01-10,1550.0,37,0,Bank transfer
ORD-569761,DL-14578,2026-04-12,15420.0,28,0,M-Pesa
ORD-528350,DL-11875,2025-08-04,7860.0,7,1,M-Pesa
ORD-503253,DL-10223,2025-09-11,4830.0,31,0,Cash
ORD-528462,DL-11883,2025-07-11,5180.0,13,1,Bank transfer
ORD-541447,DL-12760,2025-10-27,2500.0,31,0,Credit
ORD-519356,DL-11295,2026-05-28,2160.0,21,0,Bank transfer
ORD-502338,DL-10162,2026-06-28,6580.0,5,1,M-Pesa
ORD-511435,DL-10767,2026-02-20,13220.0,31,0,M-Pesa
ORD-504773,DL-10334,2026-06-01,5010.0,38,0,M-Pesa
ORD-535469,DL-12336,2026-01-08,1890.0,27,0,Credit
ORD-503854,DL-10267,2026-06-19,2020.0,24,0,Credit
ORD-510208,DL-10689,2025-10-25,7680.0,28,0,Bank transfer
ORD-538969,DL-12591,2026-02-07,8240.0,6,0,Bank transfer
ORD-565424,DL-14310,2026-02-22,5610.0,34,1,Bank transfer
ORD-511671,DL-10775,2026-05-12,2480.0,4,0,Credit
ORD-521849,DL-11452,2026-02-28,3230.0,20,0,Credit
ORD-552892,DL-13488,2026-06-28,10520.0,31,0,Cash
ORD-532076,DL-12127,2025-07-16,2100.0,2,0,Credit
ORD-547243,DL-13136,2026-06-24,3240.0,4,0,M-Pesa
ORD-517638,DL-11180,2026-04-29,2250.0,36,0,M-Pesa
ORD-504144,DL-10286,2026-02-15,9690.0,35,0,Credit
ORD-566726,DL-14390,2026-05-18,11800.0,7,0,M-Pesa
ORD-507725,DL-10513,2026-02-15,5480.0,8,1,M-Pesa
ORD-561217,DL-14021,2026-06-09,9430.0,30,0,Cash
ORD-565550,DL-14318,2026-03-10,2010.0,8,1,M-Pesa
ORD-538394,DL-12547,2026-01-26,7820.0,37,0,M-Pesa
ORD-573949,DL-14846,2026-06-22,3360.0,9,0,M-Pesa
ORD-537208,DL-12466,2025-09-18,8380.0,34,0,M-Pesa
ORD-512815,DL-10850,2025-07-02,3120.0,16,0,M-Pesa
ORD-543115,DL-12867,2025-12-28,2920.0,37,0,M-Pesa
ORD-532004,DL-12124,2026-06-24,3280.0,10,1,Bank transfer
ORD-572506,DL-14766,2026-02-10,1090.0,37,0,Credit
ORD-513489,DL-10899,2026-05-09,9320.0,17,1,M-Pesa
ORD-538409,DL-12547,2026-02-15,4550.0,10,1,M-Pesa
ORD-527419,DL-11823,2025-12-18,4140.0,36,0,M-Pesa
ORD-508140,DL-10539,2025-07-03,3470.0,5,0,Credit
ORD-562954,DL-14147,2026-04-08,4110.0,22,0,M-Pesa
ORD-534836,DL-12292,2026-01-11,6200.0,17,0,Bank transfer
ORD-570135,DL-14603,2025-07-29,5690.0,11,0,Credit
ORD-529147,DL-11924,2025-12-10,12860.0,20,0,M-Pesa
ORD-525483,DL-11688,2026-04-28,5480.0,39,1,M-Pesa
ORD-517462,DL-11167,2025-10-06,4120.0,26,0,M-Pesa
ORD-535531,DL-12339,2026-05-29,24590.0,9,0,M-Pesa
ORD-554491,DL-13582,2025-09-25,6020.0,8,1,M-Pesa
ORD-553253,DL-13508,2026-05-16,14080.0,5,0,M-Pesa
ORD-545725,DL-13034,2025-10-15,4400.0,4,0,Bank transfer
ORD-506171,DL-10435,2026-06-22,11110.0,13,1,Credit
ORD-575046,DL-14916,2025-12-14,5350.0,4,0,Bank transfer
ORD-525452,DL-11688,2026-04-14,7310.0,27,1,Credit
ORD-568533,DL-14511,2025-11-18,7990.0,28,1,Bank transfer
ORD-533373,DL-12206,2025-09-04,10900.0,16,0,Credit
ORD-517328,DL-11157,2026-04-26,4010.0,31,1,M-Pesa
ORD-501503,DL-10109,2026-03-27,4080.0,9,0,Credit
ORD-537912,DL-12511,2026-01-17,2540.0,37,0,M-Pesa
ORD-511046,DL-10746,2026-06-16,6800.0,13,0,M-Pesa
ORD-539484,DL-12630,2025-10-03,2800.0,23,1,Credit
ORD-507745,DL-10515,2025-11-21,9620.0,17,0,M-Pesa
ORD-506482,DL-10454,2026-02-02,4420.0,20,0,Cash
ORD-559863,DL-13942,2025-09-29,10700.0,24,1,M-Pesa
ORD-553014,DL-13496,2026-01-06,3150.0,23,0,M-Pesa
ORD-545800,DL-13040,2025-07-21,18590.0,8,0,M-Pesa
ORD-567955,DL-14474,2025-07-17,4790.0,3,0,Bank transfer
ORD-554307,DL-13571,2026-03-27,3880.0,13,0,Cash
ORD-524641,DL-11633,2025-11-26,14660.0,38,0,Bank transfer
ORD-517162,DL-11145,2026-02-28,5820.0,34,0,M-Pesa
ORD-501852,DL-10135,2025-11-05,4130.0,38,0,M-Pesa
ORD-523312,DL-11548,2025-12-14,7840.0,12,0,Credit
ORD-516068,DL-11082,2026-04-13,7000.0,7,0,Cash
ORD-549742,DL-13305,2026-05-22,2420.0,34,0,Cash
ORD-559220,DL-13894,2025-12-22,9450.0,16,0,M-Pesa
ORD-518687,DL-11257,2026-06-10,5960.0,32,0,Credit
ORD-557740,DL-13781,2026-06-28,6780.0,20,0,M-Pesa
ORD-533554,DL-12217,2025-10-20,14040.0,29,0,Credit
ORD-573351,DL-14808,2025-12-23,14630.0,5,0,Credit
ORD-502891,DL-10201,2025-09-01,3320.0,15,0,M-Pesa
ORD-545545,DL-13024,2026-03-04,4400.0,24,0,Cash
ORD-548369,DL-13211,2026-03-22,6030.0,22,1,Credit
ORD-528866,DL-11906,2025-09-21,11810.0,34,0,Credit
ORD-546890,DL-13113,2025-10-04,4810.0,18,0,M-Pesa
ORD-512954,DL-10865,2025-08-07,5060.0,24,0,Credit
ORD-544104,DL-12931,2026-03-07,4650.0,20,0,Bank transfer
ORD-567098,DL-14415,2026-05-24,2420.0,37,0,Bank transfer
ORD-534937,DL-12296,2025-10-06,7230.0,10,1,M-Pesa
ORD-507982,DL-10529,2025-10-25,5830.0,12,1,Bank transfer
ORD-538210,DL-12534,2026-04-04,9380.0,3,0,Credit
ORD-559829,DL-13937,2026-03-18,7900.0,32,0,M-Pesa
ORD-521333,DL-11415,2026-01-08,2670.0,23,0,Credit
ORD-550628,DL-13350,2025-08-05,3090.0,39,0,M-Pesa
ORD-527207,DL-11813,2026-04-23,4140.0,15,0,M-Pesa
ORD-560012,DL-13949,2026-02-11,7710.0,11,0,Cash
ORD-502980,DL-10205,2026-06-09,13370.0,3,1,Cash
ORD-548806,DL-13237,2026-02-26,16120.0,30,0,M-Pesa
ORD-542655,DL-12834,2025-09-16,1870.0,38,0,Bank transfer
ORD-511275,DL-10758,2026-06-12,5110.0,9,0,Credit
ORD-501076,DL-10080,2026-05-19,3290.0,9,0,M-Pesa
ORD-572147,DL-14739,2026-03-22,5750.0,27,0,M-Pesa
ORD-569473,DL-14561,2025-11-16,4540.0,16,0,Bank transfer
ORD-564650,DL-14258,2025-07-11,7180.0,16,1,M-Pesa
ORD-547847,DL-13174,2025-11-04,7720.0,28,0,M-Pesa
ORD-520295,DL-11349,2026-02-05,4230.0,39,0,Cash
ORD-505363,DL-10383,2025-09-29,11940.0,23,0,Cash
ORD-558333,DL-13825,2026-05-09,1550.0,37,0,M-Pesa
ORD-534923,DL-12295,2025-12-19,7390.0,17,0,Credit
ORD-543481,DL-12895,2026-01-04,11590.0,30,0,M-Pesa
ORD-523943,DL-11591,2026-03-31,3770.0,11,0,M-Pesa
ORD-534338,DL-12263,2026-02-15,2220.0,26,0,Bank transfer
ORD-506521,DL-10455,2025-07-13,3570.0,5,0,Credit
ORD-570742,DL-14642,2025-11-05,42400.0,30,0,Credit
ORD-553382,DL-13518,2026-05-20,3270.0,16,0,M-Pesa
ORD-546955,DL-13117,2025-10-15,6610.0,28,0,Cash
ORD-539673,DL-12641,2025-11-09,15600.0,19,0,Bank transfer
ORD-513296,DL-10888,2025-12-29,970.0,1,0,M-Pesa
ORD-546147,DL-13069,2026-06-18,7000.0,9,0,M-Pesa
ORD-555538,DL-13649,2026-03-08,3050.0,26,0,Credit
ORD-502494,DL-10171,2026-03-08,9860.0,9,1,Credit
ORD-571367,DL-14685,2026-03-24,39470.0,39,0,M-Pesa
ORD-534211,DL-12257,2025-10-18,4650.0,37,0,Credit
ORD-518750,DL-11262,2025-10-26,5810.0,34,0,M-Pesa
ORD-558064,DL-13809,2026-06-21,12180.0,19,1,Credit
ORD-552349,DL-13455,2025-09-26,6120.0,9,0,Bank transfer
ORD-537772,DL-12502,2026-03-03,12320.0,20,0,Cash
ORD-575403,DL-14934,2026-06-01,6970.0,37,0,M-Pesa
ORD-530945,DL-12048,2026-01-17,1410.0,36,0,Cash
ORD-544764,DL-12975,2026-04-23,4610.0,7,0,M-Pesa
ORD-564478,DL-14248,2025-11-09,12190.0,5,0,Credit
ORD-507191,DL-10488,2025-10-25,6130.0,29,0,Bank transfer
ORD-537460,DL-12478,2025-12-15,7520.0,14,0,M-Pesa
ORD-537588,DL-12487,2025-10-05,6180.0,16,0,Credit
ORD-573493,DL-14818,2025-09-11,1750.0,34,0,M-Pesa
ORD-572320,DL-14754,2026-06-19,7000.0,2,0,M-Pesa
ORD-540097,DL-12668,2026-06-11,2720.0,22,0,Credit
ORD-557154,DL-13746,2026-01-11,8100.0,20,0,M-Pesa
ORD-534159,DL-12250,2026-01-27,3980.0,14,0,M-Pesa
ORD-540523,DL-12695,2025-11-03,9780.0,32,0,M-Pesa
ORD-527019,DL-11800,2026-05-06,6440.0,25,0,Cash
ORD-561958,DL-14072,2026-03-19,1960.0,30,0,Bank transfer
ORD-575747,DL-14958,2025-12-13,3850.0,24,0,Cash
ORD-516717,DL-11125,2026-01-05,6240.0,7,0,M-Pesa
ORD-502618,DL-10178,2026-02-23,7150.0,31,0,M-Pesa
ORD-562922,DL-14145,2025-11-01,8130.0,8,0,Credit
ORD-543256,DL-12878,2026-05-23,2880.0,26,0,Bank transfer
ORD-512766,DL-10848,2025-09-07,2430.0,12,0,Credit
ORD-543433,DL-12892,2026-01-05,4080.0,22,0,Credit
ORD-540515,DL-12694,2026-03-20,6640.0,11,0,Bank transfer
ORD-567657,DL-14453,2025-10-22,10110.0,8,1,M-Pesa
ORD-529517,DL-11946,2025-09-04,7080.0,34,0,M-Pesa
ORD-543312,DL-12881,2025-12-17,3250.0,8,1,M-Pesa
ORD-559582,DL-13920,2026-05-19,12200.0,36,0,M-Pesa
ORD-507515,DL-10503,2026-06-17,3700.0,11,0,Cash
ORD-563520,DL-14181,2025-09-01,4810.0,30,0,Credit
ORD-518101,DL-11214,2026-05-08,5010.0,18,0,Credit
ORD-504509,DL-10315,2026-06-08,12900.0,10,0,M-Pesa
ORD-512708,DL-10845,2025-11-25,2540.0,24,0,Credit
ORD-528242,DL-11873,2025-09-05,3290.0,3,0,Credit
ORD-517886,DL-11200,2025-11-02,3800.0,25,0,Cash
ORD-556664,DL-13721,2025-10-21,500.0,36,0,M-Pesa
ORD-555416,DL-13640,2025-07-09,12580.0,37,1,M-Pesa
ORD-549149,DL-13262,2026-01-16,2360.0,4,0,M-Pesa
ORD-516030,DL-11078,2025-09-23,6960.0,38,0,M-Pesa
ORD-534098,DL-12248,2026-05-09,4380.0,31,0,M-Pesa
ORD-523997,DL-11594,2025-12-12,1850.0,16,0,Credit
ORD-511263,DL-10756,2025-09-22,2530.0,6,0,Credit
ORD-513949,DL-10929,2025-08-04,6130.0,16,0,M-Pesa
ORD-542250,DL-12804,2026-01-31,10870.0,32,0,M-Pesa
ORD-512844,DL-10856,2026-03-24,7540.0,18,0,Credit
ORD-556202,DL-13688,2026-02-14,3430.0,20,0,M-Pesa
ORD-547723,DL-13166,2025-08-08,4340.0,12,0,M-Pesa
ORD-509638,DL-10648,2025-10-11,6650.0,25,0,Credit
ORD-562738,DL-14128,2026-01-27,3830.0,11,1,Cash
ORD-575144,DL-14921,2026-03-18,11180.0,12,1,Cash
ORD-568163,DL-14484,2026-02-14,7210.0,18,0,M-Pesa
ORD-532725,DL-12167,2026-05-28,2730.0,21,0,M-Pesa
ORD-569031,DL-14538,2025-08-17,3030.0,37,0,Credit
ORD-532142,DL-12131,2025-11-14,1490.0,5,0,Credit
ORD-566451,DL-14374,2025-09-08,6480.0,12,0,Credit
ORD-562320,DL-14098,2026-02-15,5240.0,22,0,M-Pesa
ORD-549883,DL-13313,2025-10-05,10430.0,39,0,M-Pesa
ORD-547755,DL-13168,2025-09-22,2490.0,22,0,Credit
ORD-563950,DL-14207,2026-06-15,2320.0,30,1,M-Pesa
ORD-557151,DL-13746,2025-11-19,13530.0,30,0,M-Pesa
ORD-557527,DL-13764,2026-06-10,3210.0,7,0,Credit
ORD-501078,DL-10080,2025-08-23,6670.0,22,0,Bank transfer
ORD-571794,DL-14717,2026-03-25,9360.0,16,0,Bank transfer
ORD-526507,DL-11756,2025-09-09,8400.0,7,0,Bank transfer
ORD-568045,DL-14475,2026-01-14,3790.0,10,0,M-Pesa
ORD-547687,DL-13163,2025-07-10,3800.0,15,1,M-Pesa
ORD-508845,DL-10589,2026-03-28,1780.0,29,0,Credit
ORD-500152,DL-10011,2025-11-24,4830.0,26,1,Credit
ORD-531648,DL-12096,2025-12-06,11710.0,18,0,Credit
ORD-524145,DL-11605,2026-04-29,2290.0,9,0,M-Pesa
ORD-525312,DL-11674,2026-01-15,6530.0,12,0,M-Pesa
ORD-543326,DL-12883,2026-02-22,30220.0,15,0,M-Pesa
ORD-508942,DL-10595,2026-01-06,2790.0,10,0,Credit
ORD-521986,DL-11462,2025-12-27,7260.0,33,0,M-Pesa
ORD-515799,DL-11056,2025-07-19,24580.0,2,0,Credit
ORD-574576,DL-14887,2026-06-20,6080.0,30,0,M-Pesa
ORD-539196,DL-12609,2026-02-08,3100.0,35,0,M-Pesa
ORD-507491,DL-10502,2026-03-28,10030.0,4,0,Credit
ORD-546317,DL-13078,2025-07-31,5280.0,26,0,M-Pesa
ORD-549262,DL-13270,2025-07-30,5210.0,26,0,Credit
ORD-541024,DL-12727,2025-11-09,9200.0,7,0,M-Pesa
ORD-550261,DL-13331,2025-12-18,4710.0,17,0,M-Pesa
ORD-574819,DL-14900,2025-10-13,4370.0,20,0,Credit
ORD-527412,DL-11823,2026-01-30,3910.0,39,0,Bank transfer
ORD-567390,DL-14434,2025-09-01,11460.0,29,0,M-Pesa
ORD-551846,DL-13422,2026-02-06,2030.0,27,1,Bank transfer
ORD-561162,DL-14018,2026-02-27,3350.0,26,0,M-Pesa
ORD-529773,DL-11962,2025-10-08,5570.0,16,0,M-Pesa
ORD-510780,DL-10728,2026-04-24,1890.0,38,0,M-Pesa
ORD-503377,DL-10231,2025-11-08,3120.0,39,0,Cash
ORD-509987,DL-10671,2025-11-23,9660.0,2,0,Credit
ORD-551746,DL-13417,2025-07-03,7960.0,38,0,Bank transfer
ORD-571214,DL-14675,2025-10-04,7630.0,19,1,Credit
ORD-530127,DL-11984,2025-09-17,8330.0,38,0,Bank transfer
ORD-566834,DL-14397,2025-10-26,4760.0,37,0,Bank transfer
ORD-528293,DL-11875,2026-06-26,5730.0,31,1,M-Pesa
